Lead Source,Do Not Email,Do Not Call,Converted,Country,Specialization,Through Recommendations,Tags,City,Last Notable Activity,Decision_Authority,Job Position
Reference,No,No,1,India,Marketing Management,No,Closed by Horizzon,Mumbai,Modified,2,Data Analyst
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Team Lead
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Business Consultant
Reference,No,No,1,India,Marketing Management,No,Closed by Horizzon,Mumbai,Modified,3,Operations Manager
Welingak Website,No,No,1,India,Select,No,,Mumbai,Modified,3,Operations Manager
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Unreachable,2,Technical Specialist
Direct Traffic,No,No,0,Bangladesh,Supply Chain Management,No,,Other Cities,Modified,2,Business Consultant
Reference,No,No,1,India,Hospitality Management,No,Closed by Horizzon,Mumbai,Modified,4,Director of Operations
Google,Yes,No,0,India,Select,No,,Mumbai,Olark Chat Conversation,2,Business Consultant
Referral Sites,No,No,0,India,Services Excellence,No,,Mumbai,Email Opened,1,Intern
Google,No,No,0,India,Business Administration,No,Interested in other courses,Mumbai,Modified,1,Junior Developer
Referral Sites,No,No,0,India,Select,No,,Mumbai,Page Visited on Website,1,Junior Developer
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Associate Analyst
google,No,No,0,Bangladesh,Select,No,,Other Cities,Modified,2,Business Consultant
Google,No,No,0,India,Select,No,switched off,Mumbai,Modified,2,Technical Specialist
Google,No,No,0,India,Select,No,,Mumbai,Modified,1,Assistant Coordinator
Direct Traffic,No,No,0,India,Hospitality Management,No,,Mumbai,Modified,4,Senior Strategy Director
Google,No,No,0,India,Marketing Management,No,,Mumbai,Olark Chat Conversation,3,Operations Manager
Google,No,No,0,Bangladesh,Human Resource Management,No,Interested in other courses,Other Cities,Email Opened,3,Marketing Manager
Direct Traffic,No,No,0,Bangladesh,Hospitality Management,No,Not doing further education,Other Cities,Email Opened,4,Head of Marketing
Organic Search,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Unreachable,3,Operations Manager
Direct Traffic,No,No,1,India,IT Projects Management,No,Lost to EINS,Mumbai,Modified,3,Project Manager
Direct Traffic,Yes,No,0,India,Finance Management,No,invalid number,Mumbai,Modified,2,Software Engineer
Direct Traffic,No,No,0,India,Finance Management,No,Ringing,Mumbai,Modified,4,Director of Operations
Organic Search,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Technical Specialist
Google,No,No,0,India,Select,No,switched off,Mumbai,Modified,2,Data Analyst
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,4,Head of Marketing
Direct Traffic,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,1,Intern
Direct Traffic,No,No,0,Bangladesh,E-COMMERCE,No,,Other Cities,Email Opened,1,Intern
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Email Opened,4,Head of Marketing
Direct Traffic,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Marketing Manager
Olark Chat,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Had a Phone Conversation,3,Marketing Manager
Direct Traffic,No,No,0,Bangladesh,Business Administration,No,Ringing,Other Cities,Email Link Clicked,3,Project Manager
Direct Traffic,No,No,1,Bangladesh,Operations Management,No,Will revert after reading the email,Other Cities,Modified,4,Vice President
Google,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,5,CFO
Organic Search,No,No,0,India,Media and Advertising,No,Interested in other courses,Mumbai,Modified,2,Software Engineer
Organic Search,No,No,0,India,Select,No,Ringing,Mumbai,Modified,1,Junior Developer
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,3,Operations Manager
Referral Sites,No,No,0,India,Marketing Management,No,,Mumbai,Email Link Clicked,3,Operations Manager
Direct Traffic,No,No,0,India,Operations Management,No,Ringing,Mumbai,Page Visited on Website,2,Data Analyst
Referral Sites,No,No,0,India,Select,No,,Mumbai,Email Opened,3,Team Lead
Google,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Modified,2,Data Analyst
Organic Search,No,No,0,India,Business Administration,No,Interested in other courses,Mumbai,Modified,3,Marketing Manager
Google,No,No,0,India,"Banking, Investment And Insurance",No,Interested in other courses,Mumbai,Modified,1,Associate Analyst
Reference,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Team Lead
Google,No,No,0,India,Select,No,wrong number given,Mumbai,Modified,1,Junior Developer
Direct Traffic,No,No,0,India,Business Administration,No,,Mumbai,Email Link Clicked,2,Data Analyst
Welingak Website,No,No,1,India,Select,No,Closed by Horizzon,Mumbai,Modified,3,Operations Manager
Reference,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Opened,4,Head of Marketing
Welingak Website,No,No,1,India,Select,No,,Mumbai,Modified,1,Junior Developer
Welingak Website,No,No,1,India,Select,No,,Mumbai,Modified,4,Senior Strategy Director
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Referral Sites,No,No,0,India,Select,No,Already a student,Mumbai,Modified,1,Intern
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Technical Specialist
Google,No,No,0,India,Select,No,in touch with EINS,Mumbai,Modified,3,Team Lead
Organic Search,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Software Engineer
Organic Search,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Link Clicked,2,Software Engineer
Reference,No,No,1,India,Retail Management,No,Closed by Horizzon,Mumbai,Modified,3,Project Manager
Organic Search,No,No,1,Bangladesh,Finance Management,No,Will revert after reading the email,Other Cities,Email Opened,1,Associate Analyst
Organic Search,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Modified,5,COO
Olark Chat,No,No,0,,Select,No,,,Modified,2,Data Analyst
Google,No,No,0,India,Media and Advertising,No,,Mumbai,Modified,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Modified,1,Associate Analyst
Google,No,No,0,India,International Business,No,,Mumbai,Email Opened,3,Project Manager
Google,No,No,0,India,Finance Management,No,,Mumbai,Modified,4,Vice President
Reference,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Modified,5,COO
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Modified,1,Junior Developer
Google,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,4,Director of Operations
Olark Chat,No,No,0,,Select,No,,,Modified,2,Technical Specialist
Olark Chat,No,No,0,,Select,No,,,Modified,2,Business Consultant
Organic Search,No,No,1,India,International Business,No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Modified,4,Vice President
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Operations Manager
Referral Sites,No,No,0,India,Select,No,wrong number given,Mumbai,Modified,5,Chief Innovation Officer
Referral Sites,No,No,1,India,Select,No,,Mumbai,Modified,4,Vice President
Reference,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,4,Director of Operations
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,4,Director of Operations
Organic Search,No,No,0,India,Select,No,Busy,Mumbai,Modified,3,Project Manager
Direct Traffic,No,No,0,Bangladesh,"Banking, Investment And Insurance",No,,Other Cities,Email Link Clicked,3,Project Manager
Direct Traffic,No,No,0,India,Select,No,Interested  in full time MBA,Mumbai,Modified,3,Marketing Manager
Direct Traffic,No,No,1,Bangladesh,Finance Management,No,Will revert after reading the email,Other Cities,Modified,2,Business Consultant
Direct Traffic,No,No,1,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,Modified,3,Team Lead
Reference,No,No,1,Bangladesh,Marketing Management,No,Will revert after reading the email,Other Cities,Modified,3,Team Lead
Reference,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Google,No,No,0,India,Finance Management,No,,Mumbai,Modified,2,Data Analyst
Direct Traffic,No,No,1,Bangladesh,E-COMMERCE,No,Will revert after reading the email,Other Cities,Email Opened,2,Business Consultant
Direct Traffic,No,No,1,India,E-Business,No,Lost to EINS,Mumbai,Modified,1,Intern
Organic Search,No,No,0,India,Select,No,switched off,Mumbai,Modified,2,Business Consultant
Direct Traffic,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Modified,4,Vice President
Organic Search,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Modified,3,Project Manager
Reference,No,No,1,India,Finance Management,No,Closed by Horizzon,Mumbai,Modified,1,Junior Developer
Google,No,No,0,Bangladesh,Select,No,Interested  in full time MBA,Other Cities,Modified,1,Associate Analyst
Organic Search,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Software Engineer
Direct Traffic,No,No,1,India,Healthcare Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Business Consultant
Olark Chat,No,No,0,,Select,No,,,Email Opened,4,Head of Marketing
Direct Traffic,No,No,1,India,Rural and Agribusiness,No,Will revert after reading the email,Mumbai,Modified,5,COO
Direct Traffic,No,No,0,India,Select,No,,Mumbai,Modified,4,Director of Operations
Google,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,3,Team Lead
Direct Traffic,No,No,0,India,Finance Management,No,Ringing,Mumbai,Modified,4,Head of Marketing
Organic Search,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,5,Chief Innovation Officer
Direct Traffic,No,No,1,India,Finance Management,No,Lost to EINS,Mumbai,Email Opened,1,Junior Developer
Direct Traffic,No,No,0,India,IT Projects Management,No,switched off,Mumbai,Email Opened,1,Junior Developer
Olark Chat,No,No,0,,Select,No,,,Email Opened,3,Operations Manager
Organic Search,No,No,0,India,Supply Chain Management,No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Direct Traffic,No,No,0,India,E-Business,No,,Mumbai,Modified,1,Intern
Organic Search,No,No,0,Bangladesh,International Business,No,Interested in other courses,Other Cities,Email Opened,3,Operations Manager
Olark Chat,No,No,0,India,Select,No,Ringing,Mumbai,Email Opened,1,Junior Developer
google,No,No,0,Bangladesh,Select,No,,Other Cities,Modified,3,Operations Manager
Direct Traffic,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Email Opened,1,Junior Developer
Direct Traffic,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Email Opened,2,Software Engineer
Organic Search,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Modified,5,CEO
Olark Chat,No,No,0,,Select,No,,,Modified,3,Project Manager
Google,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Marketing Manager
Olark Chat,No,No,0,India,Human Resource Management,No,Ringing,Mumbai,Modified,5,Chief Innovation Officer
Organic Search,No,No,0,India,Select,No,Ringing,Mumbai,Modified,3,Team Lead
Organic Search,No,No,0,India,Select,No,,Mumbai,Email Opened,5,COO
Referral Sites,No,No,0,India,Select,No,Ringing,Mumbai,Modified,4,Senior Strategy Director
Google,No,No,0,India,Select,No,Ringing,Mumbai,Modified,2,Business Consultant
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,4,Vice President
Direct Traffic,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Email Opened,3,Team Lead
Google,No,No,0,India,Human Resource Management,No,Interested in other courses,Mumbai,Modified,1,Junior Developer
Google,No,No,0,India,Human Resource Management,No,,Mumbai,Modified,2,Data Analyst
Direct Traffic,No,No,0,India,Human Resource Management,No,switched off,Mumbai,Modified,3,Operations Manager
Google,No,No,0,India,Operations Management,No,,Mumbai,Email Opened,4,Vice President
Organic Search,No,No,1,India,Select,No,,Mumbai,Modified,1,Assistant Coordinator
Direct Traffic,No,No,1,India,Operations Management,No,Lost to EINS,Mumbai,Modified,1,Associate Analyst
Olark Chat,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,1,Associate Analyst
Google,No,No,0,India,Select,No,,Mumbai,Email Opened,4,Director of Operations
Google,No,No,0,India,Services Excellence,No,,Mumbai,Modified,1,Associate Analyst
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Page Visited on Website,4,Vice President
Welingak Website,No,No,1,India,Select,No,Closed by Horizzon,Mumbai,Modified,1,Associate Analyst
Organic Search,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Welingak Website,No,No,1,India,Select,No,,Mumbai,Email Opened,3,Project Manager
Olark Chat,No,No,0,,Select,No,,,Modified,2,Software Engineer
Referral Sites,No,No,1,India,Finance Management,No,Will revert after reading the email,Mumbai,Modified,4,Vice President
Olark Chat,No,No,0,,Select,No,,,Olark Chat Conversation,1,Associate Analyst
Direct Traffic,No,No,0,India,Select,No,,Mumbai,Page Visited on Website,2,Software Engineer
Reference,No,No,1,India,Select,No,Will revert after reading the email,Mumbai,Modified,3,Operations Manager
Organic Search,No,No,1,India,Select,No,,Mumbai,Modified,2,Software Engineer
Reference,No,No,1,India,Operations Management,No,Will revert after reading the email,Mumbai,Modified,3,Team Lead
Reference,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Opened,2,Business Consultant
Referral Sites,No,No,1,India,Human Resource Management,No,,Mumbai,Email Opened,1,Associate Analyst
Google,No,No,0,India,Select,No,,Mumbai,Email Opened,1,Assistant Coordinator
Google,No,No,0,India,Healthcare Management,No,switched off,Mumbai,Email Opened,3,Team Lead
Organic Search,No,No,0,Australia,Select,No,,,Email Opened,3,Marketing Manager
Google,No,No,0,India,Select,No,,Mumbai,Modified,3,Team Lead
Google,No,No,1,India,"Banking, Investment And Insurance",No,Will revert after reading the email,Mumbai,Email Opened,2,Software Engineer
Organic Search,No,No,0,India,Hospitality Management,No,,Mumbai,Email Opened,1,Associate Analyst
Olark Chat,No,No,0,,Select,No,,,Modified,2,Data Analyst
Referral Sites,No,No,0,India,Select,No,,Mumbai,Email Link Clicked,4,Vice President
google,No,No,0,India,Select,No,,Mumbai,Modified,4,Head of Marketing
Referral Sites,No,No,0,India,Select,No,Ringing,Mumbai,Modified,2,Technical Specialist
Google,No,No,0,India,Human Resource Management,No,Interested  in full time MBA,Mumbai,Modified,3,Marketing Manager
Google,No,No,0,India,E-Business,No,Interested in other courses,Mumbai,Email Opened,3,Project Manager
Organic Search,No,No,0,India,Select,No,,Mumbai,Modified,1,Associate Analyst
Olark Chat,No,No,0,,Select,No,,,Olark Chat Conversation,2,Data Analyst
Olark Chat,No,No,0,,Select,No,,,Email Opened,3,Project Manager
Referral Sites,No,No,0,India,Select,No,Interested in other courses,Mumbai,Modified,2,Data Analyst
Organic Search,No,No,1,Bangladesh,Operations Management,No,Will revert after reading the email,Other Cities,Email Opened,3,Operations Manager
Google,No,No,0,India,Select,No,,Mumbai,Email Opened,3,Team Lead
Olark Chat,No,No,0,,Select,No,,,Modified,2,Data Analyst
Google,No,No,0,India,Select,No,,Mumbai,Modified,2,Software Engineer
Direct Traffic,No,No,0,India,Marketing Management,No,,Mumbai,Email Opened,3,Operations Manager
Direct Traffic,No,No,1,India,Human Resource Management,No,Will revert after reading the email,Mumbai,Modified,3,Team Lead
Google,No,No,0,India,Select,No,,Mumbai,Modified,3,Operations Manager
Organic Search,No,No,0,India,Select,No,,Mumbai,Email Link Clicked,1,Associate Analyst
